_sa_instance_state, exposure_id, exposure_number, timestamp_exposures, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a65b0>","44304752049/2023-08-04 15:03:13.343360","1","2023-08-04 15:03:13.343360","44304752049",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6670>","64160476867/2023-08-04 15:03:17.257941","4","2023-08-04 15:03:17.257941","64160476867",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6730>","34685105076/2023-08-04 15:03:28.097454","2","2023-08-04 15:03:28.097454","34685105076",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a67f0>","66632171806/2023-08-04 15:03:32.961660","4","2023-08-04 15:03:32.961660","66632171806",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a68b0>","47714309471/2023-08-04 15:03:38.856123","1","2023-08-04 15:03:38.856123","47714309471",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6970>","38509956127/2023-08-04 15:03:41.076145","4","2023-08-04 15:03:41.076145","38509956127",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6a30>","36531629397/2023-08-04 15:03:42.644925","1","2023-08-04 15:03:42.644925","36531629397",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6af0>","66632171806/2023-08-04 15:04:04.362816","5","2023-08-04 15:04:04.362816","66632171806",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6bb0>","50753090975/2023-08-04 15:04:05.535652","2","2023-08-04 15:04:05.535652","50753090975",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6c70>","63406780995/2023-08-04 15:04:11.531801","1","2023-08-04 15:04:11.531801","63406780995",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6d30>","38509956127/2023-08-04 15:04:17.751020","5","2023-08-04 15:04:17.751020","38509956127",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6df0>","36531629397/2023-08-04 15:04:40.734615","2","2023-08-04 15:04:40.734615","36531629397",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6eb0>","66632171806/2023-08-04 15:04:45.653135","6","2023-08-04 15:04:45.653135","66632171806",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7a6f70>","41342490783/2023-08-04 15:05:01.456948","5","2023-08-04 15:05:01.456948","41342490783",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab070>","26697166734/2023-08-04 15:05:05.505971","1","2023-08-04 15:05:05.505971","26697166734",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab130>","55758669085/2023-08-04 15:05:11.944851","1","2023-08-04 15:05:11.944851","55758669085",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab1f0>","36531629397/2023-08-04 15:05:13.080685","3","2023-08-04 15:05:13.080685","36531629397",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab2b0>","50753090975/2023-08-04 15:05:15.740920","3","2023-08-04 15:05:15.740920","50753090975",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab370>","93291114706/2023-08-04 15:05:29.990849","1","2023-08-04 15:05:29.990849","93291114706",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab430>","48404754244/2023-08-04 15:05:33.784630","1","2023-08-04 15:05:33.784630","48404754244",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab4f0>","36531629397/2023-08-04 15:05:35.175889","4","2023-08-04 15:05:35.175889","36531629397",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab5b0>","11461355544/2023-08-04 15:05:37.705963","1","2023-08-04 15:05:37.705963","11461355544",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab670>","48404754244/2023-08-04 15:05:50.532618","2","2023-08-04 15:05:50.532618","48404754244",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab730>","47714309471/2023-08-04 15:06:03.038179","2","2023-08-04 15:06:03.038179","47714309471",
"<sqlalchemy.orm.state.InstanceState object at 0x7fc4da7ab7f0>","26697166734/2023-08-04 15:06:07.745910","2","2023-08-04 15:06:07.745910","26697166734",
